folder	movie	root_subtitle_count	subdir_move_count	note
/Volumes/导演们/成濑巳喜男/夜夜作梦	/Volumes/导演们/成濑巳喜男/夜夜作梦/夜夜作梦.Every.Night.Dreams.1933.DVDRip.XviD-WRD.mkv	1	0	paired sidecar: Every.Night.Dreams.1933.DVDRip.XviD-WRD.sub
/Volumes/导演们/成濑巳喜男/小人物，加油吧	/Volumes/导演们/成濑巳喜男/小人物，加油吧/小人物.加油吧！.Flunky.Work.Hard.1931.DVDRip.XviD-WRD.mkv	1	0	paired sidecar: Flunky.Work.Hard.1931.DVDRip.XviD-WRD.sub
/Volumes/导演们/成濑巳喜男/幸福生活	/Volumes/导演们/成濑巳喜男/幸福生活/幸福生活.Tanoshiki.kana.jinsei.This.Happy.Life.1944.Mikio.Naruse.mkv	2	0	
/Volumes/导演们/成濑巳喜男/没有尽头的街	/Volumes/导演们/成濑巳喜男/没有尽头的街/没有尽头的街.Street.Without.End.1934.DVDRip.XviD-WRD.mkv	1	0	paired sidecar: Street.Without.End.1934.DVDRip.XviD-WRD.sub
/Volumes/导演们/大卫·柯南伯格/灵婴	/Volumes/导演们/大卫·柯南伯格/灵婴/灵婴.The.Brood.1979.avi	1	0	paired sidecar: 灵婴.The.Brood.1979.sub
/Volumes/导演们/杜拉斯/塞扎里	/Volumes/导演们/杜拉斯/塞扎里/Cesaree.mkv	1	0	
/Volumes/导演们/威廉·惠勒/孔雀夫人	/Volumes/导演们/威廉·惠勒/孔雀夫人/孔雀夫人.Dodsworth.1936.DVDRip.X264.AAC-jeffWen.mkv	1	0	paired sidecar: 孔雀夫人.Dodsworth.1936.DVDRip.X264.AAC-jeffWen.eng.sub
/Volumes/导演们/威廉·惠勒/香笺泪	/Volumes/导演们/威廉·惠勒/香笺泪/香笺泪.The.Letter.1940.DVDRip.XviD.MP3-VH-PROD.mkv	1	0	paired sidecar: 香笺泪.The.Letter.1940.DVDRip.XviD.MP3-VH-PROD.sub
/Volumes/导演们/莫里斯·皮亚拉/伊斯坦布尔	/Volumes/导演们/莫里斯·皮亚拉/伊斯坦布尔/伊斯坦布尔.Istanbul.-.1964.-.Maurice.Pialat.-.MoC.74.-.tt0422504.mkv	1	0	paired sidecar: Istanbul - 1964 - Maurice Pialat - MoC 74 - tt0422504.sub
/Volumes/导演们/莫里斯·皮亚拉/佩何里凡	/Volumes/导演们/莫里斯·皮亚拉/佩何里凡/佩何里凡.Pehlivan.-.1964.-.Maurice.Pialat.-.MoC.74.-.tt0325964.mkv	1	0	paired sidecar: Pehlivan - 1964 - Maurice Pialat - MoC 74 - tt0325964.sub
